Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Waccamaw Silverslide	1	5	0	1	4	0	0	0	0	13	-1	0	T	2/8/11	4/8/87	8/11/93	8	1	7.69%	0.00%	10264	7947	1557	No Change	-1	
Waccamaw Silverslide	2	7	1	1	3	0	1	1	0	13	-1	0	T	2/8/11	4/8/87	8/11/93	8	1	7.69%	0.00%	10264	7947	1557	No Change	-1	
Waccamaw Silverslide	3	1	0	0	1	0	0	0	0	13	-1	0	T	2/8/11	4/8/87	8/11/93	8	1	7.69%	0.00%	10264	7947	1557	No Change	-1	
West Indian Manatee	1	29	0	1	26	0	1	0	1	122	0.5	0.5	E-->T	4/6/07	3/11/67	10/30/01	5	0	0.00%	0.00%	17597	4945	2961	Improve	1	C
West Indian Manatee	2	77	0	2	63	2	8	0	2	122	0.5	0.5	E-->T	4/6/07	3/11/67	10/30/01	5	0	0.00%	0.00%	17597	4945	2961	Improve	1	C
West Indian Manatee	3	16	0	0	12	0	4	0	0	122	0.5	0.5	E-->T	4/6/07	3/11/67	10/30/01	5	0	0.00%	0.00%	17597	4945	2961	Improve	1	C
Wood Stork	1	6	0	0	6	0	0	0	0	35	0	1	E-->T	9/21/07	2/28/84	1/27/97	5	0	0.00%	0.00%	11399	6682	2793	Improve	1	C
Wood Stork	2	20	0	0	15	0	5	0	0	35	0	1	E-->T	9/21/07	2/28/84	1/27/97	5	0	0.00%	0.00%	11399	6682	2793	Improve	1	C
Wood Stork	3	9	0	0	7	1	1	0	0	35	0	1	E-->T	9/21/07	2/28/84	1/27/97	5	0	0.00%	0.00%	11399	6682	2793	Improve	1	C
Yellow-Shouldered Blackbird	1	18	0	2	9	2	4	0	1	21	0.5	1	E	2/2/11	12/12/76	11/12/96	2	0	0.00%	0.00%	14033	6758	1563	No Change	1.5	
Yellow-Shouldered Blackbird	2	3	0	0	3	0	0	0	0	21	0.5	1	E	2/2/11	12/12/76	11/12/96	2	0	0.00%	0.00%	14033	6758	1563	No Change	1.5	
Yellow-Shouldered Blackbird	3	0	0	0	0	0	0	0	0	21	0.5	1	E	2/2/11	12/12/76	11/12/96	2	0	0.00%	0.00%	14033	6758	1563	No Change	1.5	
