Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Delmarva Fox Squirrel	1	0	0	0	0	0	0	0	0	34	1	1	E-->R	9/4/12	3/11/67	6/8/93	15	12	35.29%	NDIV/0!	17597	8011	983	Improve	2	C
Delmarva Fox Squirrel	2	16	6	0	10	0	0	0	0	34	1	1	E-->R	9/4/12	3/11/67	6/8/93	15	12	35.29%	NDIV/0!	17597	8011	983	Improve	2	C
Delmarva Fox Squirrel	3	18	6	2	4	0	6	0	0	34	1	1	E-->R	9/4/12	3/11/67	6/8/93	15	12	35.29%	NDIV/0!	17597	8011	983	Improve	2	C
Delta Green Ground Beetle	1	10	1	1	1	1	6	0	0	17	0	0	T	2/4/09	8/8/80	10/4/11	8	1	5.88%	10.00%	12698	1319	2291	No Change	0	
Delta Green Ground Beetle	2	4	0	0	2	0	2	0	0	17	0	0	T	2/4/09	8/8/80	10/4/11	8	1	5.88%	10.00%	12698	1319	2291	No Change	0	
Delta Green Ground Beetle	3	3	0	0	2	0	1	0	0	17	0	0	T	2/4/09	8/8/80	10/4/11	8	1	5.88%	10.00%	12698	1319	2291	No Change	0	
Delta Smelt	1	10	0	0	1	0	8	1	0	74	-0.5	-1	T-->E	9/13/10	3/5/93	11/26/96	2	0	0.00%	0.00%	8106	6744	1705	Degrade	-1.5	C
Delta Smelt	2	36	0	0	8	5	13	9	1	74	-0.5	-1	T-->E	9/13/10	3/5/93	11/26/96	2	0	0.00%	0.00%	8106	6744	1705	Degrade	-1.5	C
Delta Smelt	3	28	0	0	4	5	10	9	0	74	-0.5	-1	T-->E	9/13/10	3/5/93	11/26/96	2	0	0.00%	0.00%	8106	6744	1705	Degrade	-1.5	C
Dwarf Wedgemussel	1	9	0	0	6	0	3	0	0	17	0	0.5	E	7/25/07	3/14/90	2/8/93	5	0	0.00%	0.00%	9193	8131	2851	No Change	-2	
Dwarf Wedgemussel	2	3	0	0	1	0	1	0	1	17	0	0.5	E	7/25/07	3/14/90	2/8/93	5	0	0.00%	0.00%	9193	8131	2851	No Change	-2	
Dwarf Wedgemussel	3	5	0	1	0	0	2	2	0	17	0	0.5	E	7/25/07	3/14/90	2/8/93	5	0	0.00%	0.00%	9193	8131	2851	No Change	-2	
Hawaiian Common Moorhen	1	9	0	0	7	2	0	0	0	49	0	0	E	8/27/10	3/11/67	1/19/12	9	1	2.04%	0.00%	17597	1212	1722	No Change	0	
Hawaiian Common Moorhen	2	17	0	1	8	2	6	0	0	49	0	0	E	8/27/10	3/11/67	1/19/12	9	1	2.04%	0.00%	17597	1212	1722	No Change	0	
Hawaiian Common Moorhen	3	23	1	0	5	8	7	1	1	49	0	0	E	8/27/10	3/11/67	1/19/12	9	1	2.04%	0.00%	17597	1212	1722	No Change	0	
Hawaiian Crow	1	2	0	0	1	1	0	0	0	56	-0.5	0	E	7/31/09	3/11/67	4/17/09	2	1	1.79%	0.00%	17597	2219	2114	No Change	-2	C
Hawaiian Crow	2	54	1	6	17	0	30	0	0	56	-0.5	0	E	7/31/09	3/11/67	4/17/09	2	1	1.79%	0.00%	17597	2219	2114	No Change	-2	C
Hawaiian Crow	3	0	0	0	0	0	0	0	0	56	-0.5	0	E	7/31/09	3/11/67	4/17/09	2	1	1.79%	0.00%	17597	2219	2114	No Change	-2	C
Hawaiian Hawk	1	0	0	0	0	0	0	0	0	12	0	0.5	E-->R	NA	3/11/67	5/9/84	14	1	8.33%	NDIV/0!	17597	11328	NA	Improve	0.5	
Hawaiian Hawk	2	8	0	0	6	0	1	0	1	12	0	0.5	E-->R	NA	3/11/67	5/9/84	14	1	8.33%	NDIV/0!	17597	11328	NA	Improve	0.5	
Hawaiian Hawk	3	4	1	0	1	0	0	1	1	12	0	0.5	E-->R	NA	3/11/67	5/9/84	14	1	8.33%	NDIV/0!	17597	11328	NA	Improve	0.5	
Inyo Towhee	1	0	0	0	0	0	0	0	0	47	1	1	T-->R	9/30/08	8/3/87	4/10/98	15	0	0.00%	NDIV/0!	10147	6244	2418	Improve	2	
Inyo Towhee	2	40	0	0	35	3	1	1	0	47	1	1	T-->R	9/30/08	8/3/87	4/10/98	15	0	0.00%	NDIV/0!	10147	6244	2418	Improve	2	
Inyo Towhee	3	7	0	0	0	0	0	7	0	47	1	1	T-->R	9/30/08	8/3/87	4/10/98	15	0	0.00%	NDIV/0!	10147	6244	2418	Improve	2	
Island Night Lizard	1	5	0	0	5	0	0	0	0	35	1	0	T-->R	10/5/12	9/12/77	1/26/84	14	15	42.86%	0.00%	13759	11432	952	Improve	1	
Island Night Lizard	2	30	15	0	12	1	1	1	0	35	1	0	T-->R	10/5/12	9/12/77	1/26/84	14	15	42.86%	0.00%	13759	11432	952	Improve	1	
Island Night Lizard	3	0	0	0	0	0	0	0	0	35	1	0	T-->R	10/5/12	9/12/77	1/26/84	14	15	42.86%	0.00%	13759	11432	952	Improve	1	
Kirtlands Warbler	1	25	0	3	13	0	4	5	0	37	1	1	E-->T	8/21/12	3/11/67	9/30/85	2	0	0.00%	0.00%	17597	10819	997	Improve	2	C
Kirtlands Warbler	2	4	0	1	1	0	2	0	0	37	1	1	E-->T	8/21/12	3/11/67	9/30/85	2	0	0.00%	0.00%	17597	10819	997	Improve	2	C
Kirtlands Warbler	3	8	0	0	4	0	3	1	0	37	1	1	E-->T	8/21/12	3/11/67	9/30/85	2	0	0.00%	0.00%	17597	10819	997	Improve	2	C
Least Bells Vireo	1	12	0	10	1	0	1	0	0	49	0.5	1	E-->T	9/26/06	5/2/86	5/6/98	9	0	0.00%	0.00%	10605	6218	3153	Improve	1.5	C
Least Bells Vireo	2	23	0	4	5	4	4	6	0	49	0.5	1	E-->T	9/26/06	5/2/86	5/6/98	9	0	0.00%	0.00%	10605	6218	3153	Improve	1.5	C
Least Bells Vireo	3	14	0	6	3	1	3	1	0	49	0.5	1	E-->T	9/26/06	5/2/86	5/6/98	9	0	0.00%	0.00%	10605	6218	3153	Improve	1.5	C
Least Tern	1	15	0	1	2	0	11	1	0	82	0	1	E-->R	10/24/13	5/28/85	9/19/90	3	1	1.22%	0.00%	10944	9004	568	Improve	1	C
Least Tern	2	42	0	4	16	1	20	0	1	82	0	1	E-->R	10/24/13	5/28/85	9/19/90	3	1	1.22%	0.00%	10944	9004	568	Improve	1	C
Least Tern	3	25	1	5	5	1	8	5	0	82	0	1	E-->R	10/24/13	5/28/85	9/19/90	3	1	1.22%	0.00%	10944	9004	568	Improve	1	C
Lesser Long-Nosed Bat	1	8	0	0	7	0	0	1	0	21	-1	1	E-->T	9/11/07	9/30/88	3/4/97	8	0	0.00%	0.00%	9723	6646	2803	Improve	0	
Lesser Long-Nosed Bat	2	11	0	2	9	0	0	0	0	21	-1	1	E-->T	9/11/07	9/30/88	3/4/97	8	0	0.00%	0.00%	9723	6646	2803	Improve	0	
Lesser Long-Nosed Bat	3	2	0	1	1	0	0	0	0	21	-1	1	E-->T	9/11/07	9/30/88	3/4/97	8	0	0.00%	0.00%	9723	6646	2803	Improve	0	
Litte Colorado Spinedace	1	15	1	0	8	4	0	0	2	52	-1	-1	T-->E	10/6/98	3/11/67	1/9/98	5	2	3.85%	6.67%	17597	6335	6065	Degrade	-2	C
Litte Colorado Spinedace	2	29	1	0	14	0	13	0	1	52	-1	-1	T-->E	10/6/98	3/11/67	1/9/98	5	2	3.85%	6.67%	17597	6335	6065	Degrade	-2	C
Litte Colorado Spinedace	3	8	0	0	1	0	7	0	0	52	-1	-1	T-->E	10/6/98	3/11/67	1/9/98	5	2	3.85%	6.67%	17597	6335	6065	Degrade	-2	C
Lost River Sucker	1	16	0	0	0	0	16	0	0	39	0.5	-1	E	9/1/13	7/18/98	10/21/11	4	0	0.00%	0.00%	6145	1302	621	No Change	-0.5	C
Lost River Sucker	2	15	0	0	0	0	15	0	0	39	0.5	-1	E	9/1/13	7/18/98	10/21/11	4	0	0.00%	0.00%	6145	1302	621	No Change	-0.5	C
Lost River Sucker	3	8	0	0	0	0	8	0	0	39	0.5	-1	E	9/1/13	7/18/98	10/21/11	4	0	0.00%	0.00%	6145	1302	621	No Change	-0.5	C
Magazine Mountain Shagreen	1	1	1	0	0	0	0	0	0	7	1	0	T-->R	NA	4/17/89	2/1/94	8	6	85.71%	100.00%	9524	7773	NA	Improve	1	
Magazine Mountain Shagreen	2	4	4	0	0	0	0	0	0	7	1	0	T-->R	NA	4/17/89	2/1/94	8	6	85.71%	100.00%	9524	7773	NA	Improve	1	
Magazine Mountain Shagreen	3	2	1	0	1	0	0	0	0	7	1	0	T-->R	NA	4/17/89	2/1/94	8	6	85.71%	100.00%	9524	7773	NA	Improve	1	
Modoc Sucker	1	35	6	0	9	0	2	18	0	36	1	1	E-->T/R	8/17/09	6/11/85	5/8/84	14	7	19.44%	17.14%	10930	11329	2097	Improve	2	
Modoc Sucker	2	1	1	0	0	0	0	0	0	36	1	1	E-->T/R	8/17/09	6/11/85	5/8/84	14	7	19.44%	17.14%	10930	11329	2097	Improve	2	
Modoc Sucker	3	0	0	0	0	0	0	0	0	36	1	1	E-->T/R	8/17/09	6/11/85	5/8/84	14	7	19.44%	17.14%	10930	11329	2097	Improve	2	
Morro Shoulderband Snail	1	3	0	1	0	0	0	2	0	20	0.5	0.5	E-->T	9/11/06	12/15/94	9/28/98	2	2	10.00%	0.00%	7456	6073	3168	Improve	1	C
Morro Shoulderband Snail	2	12	2	1	2	0	1	6	0	20	0.5	0.5	E-->T	9/11/06	12/15/94	9/28/98	2	2	10.00%	0.00%	7456	6073	3168	Improve	1	C
Morro Shoulderband Snail	3	5	0	0	3	0	1	1	0	20	0.5	0.5	E-->T	9/11/06	12/15/94	9/28/98	2	2	10.00%	0.00%	7456	6073	3168	Improve	1	C
Myrtles Silverpot Butterfly	1	6	1	1	3	0	1	0	0	11	0	0	E	2/4/09	6/22/92	9/29/98	9	1	9.09%	16.67%	8362	6072	2291	No Change	0	
Myrtles Silverpot Butterfly	2	3	0	0	2	0	1	0	0	11	0	0	E	2/4/09	6/22/92	9/29/98	9	1	9.09%	16.67%	8362	6072	2291	No Change	0	
Myrtles Silverpot Butterfly	3	2	0	0	2	0	0	0	0	11	0	0	E	2/4/09	6/22/92	9/29/98	9	1	9.09%	16.67%	8362	6072	2291	No Change	0	
Newells Shearwater	1	16	0	1	11	0	4	0	0	39	0	-1	T-->E	9/27/11	10/28/75	2/1/83	3	0	0.00%	0.00%	14444	11791	1326	Degrade	-1	
Newells Shearwater	2	23	0	2	9	2	8	2	0	39	0	-1	T-->E	9/27/11	10/28/75	2/1/83	3	0	0.00%	0.00%	14444	11791	1326	Degrade	-1	
